slide_num,trial_index,threat_category,group,central_threat_delta_dwell,sd,n,se,ci95_lo,ci95_hi
1,1,anxiety_inducing,No-PTSD,4.451399999999411,23.858576244955735,12.0,6.887377708753203,-9.047860309156867,17.950660309155687
1,1,anxiety_inducing,PTSD,14.601200000000862,25.68679490750083,17.0,6.229962858070809,2.3904727981820777,26.811927201819646
3,2,anxiety_inducing,No-PTSD,8.159933333333417,31.60887434599037,12.0,9.124696056219298,-9.724470936856406,26.04433760352324
3,2,anxiety_inducing,PTSD,15.879388235295451,31.221122060589693,17.0,7.572234353300765,1.037808902825951,30.72096756776495
4,3,angry_face,No-PTSD,-0.49296666666780425,25.81387645009148,12.0,7.451824258644029,-15.0985422136101,14.112608880274491
4,3,angry_face,PTSD,11.932776470588644,38.98585912673204,17.0,9.455459710880382,-6.599924562736904,30.465477503914194
5,4,anxiety_inducing,No-PTSD,1.2804333333334466,36.01210081532828,12.0,10.395798049906864,-19.095330844484003,21.6561975111509
5,4,anxiety_inducing,PTSD,23.638258823528957,35.46307393612178,17.0,8.601058802806985,6.7801835700272655,40.49633407703065
10,5,anxiety_inducing,No-PTSD,14.284055555556067,28.89977584262961,12.0,8.342646681131024,-2.0675319394607374,30.635643050572874
10,5,anxiety_inducing,PTSD,13.090549019607996,34.456493464976134,17.0,8.35692717908831,-3.2890282514050906,29.47012629062108
11,6,warfare,No-PTSD,12.502300000000446,31.441693112924103,12.0,9.076434991262166,-5.287512582873401,30.292112582874292
11,6,warfare,PTSD,11.897882352940712,26.759923292029605,17.0,6.4902347215567255,-0.8229777013104691,24.618742407191895
15,7,anxiety_inducing,No-PTSD,14.410099999999362,22.25387768661597,12.0,6.424141136440368,1.8187833725762417,27.001416627422483
15,7,anxiety_inducing,PTSD,8.5235529411767,26.115144752760663,17.0,6.333852955525119,-3.8907988516525336,20.937904734005933
16,8,angry_face,No-PTSD,-1.6522333333326953,27.89519549141553,12.0,8.052649313032996,-17.435425986877366,14.130959320211975
16,8,angry_face,PTSD,-2.1506352941184437,25.520144523908353,17.0,6.1895442031236625,-14.282141932240823,9.980871344003933
19,9,angry_face,No-PTSD,-11.461199999997918,38.24516790716722,12.0,11.040428993202717,-33.10044082667524,10.178040826679405
19,9,angry_face,PTSD,13.638588235293831,30.107413712611336,17.0,7.302120403015652,-0.6735677546168475,27.95074422520451
20,10,soldiers,No-PTSD,12.543499999999767,33.534784375576315,12.0,9.680658393227521,-6.430590450726175,31.51759045072571
20,10,soldiers,PTSD,9.88832941176459,28.33834953423921,17.0,6.873059316784782,-3.582866849133584,23.359525672662762
21,11,soldiers,No-PTSD,0.003899999998927465,27.514054587231666,12.0,7.94262341121813,-15.563641885988607,15.571441885986461
21,11,soldiers,PTSD,4.639670588234815,21.153976219725603,17.0,5.130592844454873,-5.416291386896735,14.695632563366367
24,12,anxiety_inducing,No-PTSD,7.033666666667803,34.28494758136389,12.0,9.897211857626326,-12.364868574279797,26.4322019076154
24,12,anxiety_inducing,PTSD,14.89821176470555,32.85711691585815,17.0,7.9690213880795255,-0.7210701559303203,30.51749368534142
25,13,warfare,No-PTSD,1.9223666666668813,27.822820480230533,12.0,8.031756446937866,-13.819875969331335,17.6646093026651
25,13,warfare,PTSD,4.8736470588229555,41.981662419176146,17.0,10.182048734899217,-15.08316846157951,24.83046257922542
26,14,soldiers,No-PTSD,-3.183166666667096,27.3687424865186,12.0,7.900675420986531,-18.668490491800696,12.302157158466503
26,14,soldiers,PTSD,6.604894117647302,38.71266698240504,17.0,9.389200883401017,-11.797939613818691,25.007727849113294
29,15,soldiers,No-PTSD,15.623366666666405,38.554196283138175,12.0,11.129637801229748,-6.190723423743902,37.43745675707671
29,15,soldiers,PTSD,-0.7993411764703175,32.070159890447414,17.0,7.778156274044799,-16.044527473598123,14.44584512065749
32,16,warfare,No-PTSD,7.126166666666685,26.982464736240168,12.0,7.789166639433923,-8.140599946623805,22.392933279957173
32,16,warfare,PTSD,4.241270588234971,37.43442146827831,17.0,9.079180808682402,-13.553923796782534,22.036464973252478
33,17,angry_face,No-PTSD,-7.627800000001152,15.937361430068476,12.0,4.600719955911197,-16.6452111135871,1.3896111135847953
33,17,angry_face,PTSD,10.200494117647244,32.81926483897205,17.0,7.959840910953033,-5.4007940678207,25.80178230311519
34,18,anxiety_inducing,No-PTSD,2.0271999999990435,29.241891476690345,12.0,8.441406957840497,-14.517957637368331,18.57235763736642
34,18,anxiety_inducing,PTSD,4.632941176470518,31.68511689608864,17.0,7.6847696307421325,-10.42920729978406,19.6950896527251
36,19,anxiety_inducing,No-PTSD,0.5031333333351834,20.217618852212826,12.0,5.836323843349164,-10.936061399629178,11.942328066299545
36,19,anxiety_inducing,PTSD,7.607105882352918,44.52640454146954,17.0,10.799239356085929,-13.5594032555755,28.773615020281337
37,20,anxiety_inducing,No-PTSD,5.593766666667167,25.335554320195193,12.0,7.313744553416541,-8.741172658029253,19.928705991363586
37,20,anxiety_inducing,PTSD,0.49075294117751406,28.619565314267906,17.0,6.9412641617641215,-13.114124815880164,14.09563069823519
38,21,angry_face,No-PTSD,-2.936599999999648,31.964134419348888,12.0,9.227250805712233,-21.022011579195624,15.148811579196328
38,21,angry_face,PTSD,0.8247058823528739,31.765713734002215,17.0,7.7043172352014535,-14.275755898641975,15.925167663347722
39,22,anxiety_inducing,No-PTSD,8.994800000001561,25.102576260688384,12.0,7.246489580730774,-5.208319578230755,23.19791957823388
39,22,anxiety_inducing,PTSD,16.428799999999086,24.02923308430833,17.0,5.827945065246452,5.006027672116039,27.85157232788213
40,23,angry_face,No-PTSD,1.3071333333315358,41.250835563665945,12.0,11.908090508489762,-22.032724063308397,24.646990729971467
40,23,angry_face,PTSD,-7.269576470589347,34.79963200795998,17.0,8.440150500084952,-23.81227145075585,9.27311850957716
44,24,anxiety_inducing,No-PTSD,4.790166666666629,31.220577066920495,12.0,9.012604286921002,-12.874537735698535,22.454871069031793
44,24,anxiety_inducing,PTSD,14.08804705882356,41.4635539342406,17.0,10.056388969668747,-5.622475321727185,33.798569439374305
46,25,angry_face,No-PTSD,9.448066666667195,37.21137206581732,12.0,10.741997839557476,-11.606249098865458,30.50238243219985
46,25,angry_face,PTSD,4.169717647059245,27.940556349423314,17.0,6.776580298070265,-9.112379737158474,17.451815031276965
47,26,warfare,No-PTSD,-5.124700000001177,41.76328871868121,12.0,12.05602299198733,-28.754505064296342,18.50510506429399
47,26,warfare,PTSD,10.427788235294797,29.34326117530896,17.0,7.116786189757921,-3.5211126966307287,24.37668916722032
48,27,warfare,No-PTSD,-7.0919999999995325,36.05971745848095,12.0,10.409543790777912,-27.49470582992424,13.310705829925173
48,27,warfare,PTSD,10.544635294117924,38.676091624946096,17.0,9.380330056218785,-7.840811616070894,28.930082204306743
49,28,soldiers,No-PTSD,19.52460000000186,28.728343185971184,12.0,8.293158335896207,3.2700096616452967,35.779190338358426
49,28,soldiers,PTSD,13.544117647058684,30.286088730889556,17.0,7.345455460252139,-0.8529750550355075,27.941210349152875
50,29,angry_face,No-PTSD,5.537033333333092,31.78320947759862,12.0,9.175022273800915,-12.446010323316699,23.520076989982883
50,29,angry_face,PTSD,-9.817270588234328,27.759378680811267,17.0,6.732638258970817,-23.013241575817126,3.3787003993484728
52,30,soldiers,No-PTSD,9.706300000001697,23.19091226532927,12.0,6.694639719570424,-3.4151938503563333,22.827793850359726
52,30,soldiers,PTSD,-6.438635294117608,34.92985096563031,17.0,8.471733236375105,-23.04323243741281,10.165961849177597
54,31,warfare,No-PTSD,-1.1197333333341521,25.312181789561933,12.0,7.306997484990163,-15.44144840391487,13.201981737246568
54,31,warfare,PTSD,-3.014941176470261,37.18243674261882,17.0,9.018065535744968,-20.6903496265304,14.660467273589878
56,32,warfare,No-PTSD,11.542899999999987,26.329530466897953,12.0,7.600680751349993,-3.3544342726459995,26.440234272645974
56,32,warfare,PTSD,-0.5563294117656705,24.41315567280814,17.0,5.921059970213821,-12.161606953384759,11.048948129853418
57,33,soldiers,No-PTSD,14.256633333333887,31.293809890581468,12.0,9.033744782148093,-3.449506439676373,31.962773106344148
57,33,soldiers,PTSD,14.28317647058818,29.703660664460287,17.0,7.204195905122013,0.16295249654903365,28.403400444627323
58,34,warfare,No-PTSD,10.811333333333508,36.3603798641368,12.0,10.496337551198216,-9.761488267014997,31.384154933682012
58,34,warfare,PTSD,11.810988235293532,25.941054405370963,17.0,6.291629844308165,-0.5206062595504708,24.142582730137534
59,35,angry_face,No-PTSD,0.052933333331118014,26.48369410614342,12.0,7.645183960658805,-14.931627229560139,15.037493896222376
59,35,angry_face,PTSD,-0.6527529411768427,25.02626129603912,17.0,6.069759925757436,-12.549482395661418,11.243976513307732
60,36,warfare,No-PTSD,-3.5095333333335765,30.66698439374369,12.0,8.852795847480985,-20.861013194396307,13.841946527729155
60,36,warfare,PTSD,4.193741176470786,22.068778093016043,17.0,5.352464888577779,-6.29709000514166,14.684572358083232
62,37,anxiety_inducing,No-PTSD,-2.36406666666832,25.796467084301035,12.0,7.446798607631262,-16.959791937625592,12.231658604288953
62,37,anxiety_inducing,PTSD,17.528329411765682,38.53132768390828,17.0,9.345219643296454,-0.7883010890953699,35.844959912626734
63,38,anxiety_inducing,No-PTSD,8.997400000000487,26.757839332532537,12.0,7.724322870785208,-6.142272826738521,24.137072826739498
63,38,anxiety_inducing,PTSD,6.308141176470022,30.566531196372743,17.0,7.413472748904834,-8.222265411383452,20.838547764323494
65,39,soldiers,No-PTSD,8.98733333333473,29.10984167938374,12.0,8.403287464829797,-7.48311009773167,25.45777676440113
65,39,soldiers,PTSD,7.457364705882502,29.89604639983683,17.0,7.250856299699638,-6.754313641528788,21.66904305329379
67,40,warfare,No-PTSD,4.100866666665339,20.734550979698835,12.0,5.985549294827571,-7.6308099511967,15.832543284527379
67,40,warfare,PTSD,9.779105882352795,30.972097758637624,17.0,7.511837088577583,-4.9440948112592675,24.50230657596486
68,41,warfare,No-PTSD,7.246400000001498,31.40564939381487,12.0,9.066030065797012,-10.523018928960646,25.01581892896364
68,41,warfare,PTSD,0.6962352941171517,35.57334296943735,17.0,8.627802971724329,-16.214258530462534,17.606729118696837
69,42,warfare,No-PTSD,5.81539999999882,21.522412963404932,12.0,6.212985459016065,-6.362051499672668,17.99285149967031
69,42,warfare,PTSD,10.934799999999129,24.509978681345146,17.0,5.944542999107242,-0.7165042782510653,22.586104278249323
70,43,angry_face,No-PTSD,-11.986066666666884,31.688685829870504,12.0,9.147735647070608,-29.915628534925276,5.943495201591505
70,43,angry_face,PTSD,0.02176470588221695,24.98912076166695,17.0,6.060752023039298,-11.857309259274807,11.900838671039242
73,44,anxiety_inducing,No-PTSD,3.3203666666646807,27.216986517025205,12.0,7.856867246067459,-12.07909313562754,18.719826468956903
73,44,anxiety_inducing,PTSD,6.931882352941833,29.268942007789136,17.0,7.098761144011321,-6.981689489320355,20.84545419520402
